id,english,german,article_german,french,article_french,meanings,type,topic
461,allow,erlauben,,permettre,,allow,verb,Everyday Verbs
462,tell,erzählen,,raconter,,tell,verb,Communication
463,to eat,essen,,manger,,eat,verb,Food & Drinks
464,drive,fahren,,conduire,,drive,verb,Everyday Verbs
465,find,finden,,trouver,,find,verb,Everyday Verbs
466,fly,fliegen,,voler,,fly,verb,Everyday Verbs
467,continue,fortsetzen,,continuer,,continue,verb,Everyday Verbs
468,to ask,fragen,,demander,,ask; inquire,verb,Everyday Verbs
469,feel,fühlen,,ressentir,,feel,verb,Everyday Verbs
470,give,geben,,donner,,give,verb,Everyday Verbs
471,to go,gehen,,aller,,go; walk,verb,Everyday Verbs
472,win,gewinnen,,gagner,,win,verb,Everyday Verbs
473,believe,glauben,,croire,,believe,verb,Everyday Verbs
474,to have,haben,,avoir,,have; possess,verb,Everyday Verbs
475,hate,hassen,,détester,,hate,verb,Everyday Verbs
476,to help,helfen,,aider,,help; assist,verb,Everyday Verbs
477,add,hinzufügen,,ajouter,,add,verb,Everyday Verbs
478,hope,hoffen,,espérer,,hope,verb,Everyday Verbs
479,to hear,hören,,entendre,,hear; listen,verb,Everyday Verbs
480,to buy,kaufen,,acheter,,buy; purchase,verb,Everyday Verbs
481,cook,kochen,,cuisiner,,cook,verb,Food & Drinks
482,to come,kommen,,venir,,come,verb,Everyday Verbs
483,cost,kosten,,coûter,,cost,verb,Work & Education
484,laugh,lachen,,rire,,laugh,verb,Everyday Verbs
485,live,leben,,vivre,,live,verb,Everyday Verbs
486,teach,lehren,,enseigner,,teach,verb,Everyday Verbs
487,borrow,leihen,,emprunter,,borrow,verb,Everyday Verbs
488,to learn,lernen,,apprendre,,learn; study,verb,Everyday Verbs
489,to read,lesen,,lire,,read,verb,Everyday Verbs
490,to love,lieben,,aimer,,love,verb,Everyday Verbs
491,smile,lächeln,,sourire,,smile,verb,Everyday Verbs
492,to do,machen,,faire,,do; make,verb,Everyday Verbs
493,to like,mögen,,aimer bien,,like,verb,Everyday Verbs
494,take,nehmen,,prendre,,take,verb,Everyday Verbs
495,organize,organisieren,,organiser,,organize,verb,Everyday Verbs
496,plan,planen,,planifier,,plan,verb,Everyday Verbs
497,talk,reden,,parler,,talk,verb,Communication
498,clean,reinigen,,nettoyer,,clean,verb,Everyday Verbs
499,travel,reisen,,voyager,,travel,verb,Everyday Verbs
500,ride,reiten,,monter,,ride,verb,Everyday Verbs
501,run,rennen,,courir,,run,verb,Everyday Verbs
502,repair,reparieren,,réparer,,repair,verb,Everyday Verbs
503,to say,sagen,,dire,,say; tell,verb,Everyday Verbs
504,look,schauen,,regarder,,look,verb,Everyday Verbs
505,sleep,schlafen,,dormir,,sleep,verb,Everyday Verbs
506,close,schliessen,,fermer,,close,verb,Everyday Verbs
507,cut,schneiden,,couper,,cut,verb,Everyday Verbs
508,to write,schreiben,,écrire,,write,verb,Everyday Verbs
509,swim,schwimmen,,nager,,swim,verb,Everyday Verbs
510,to see,sehen,,voir,,see; watch,verb,Everyday Verbs
511,to be,sein,,être,,be; exist,verb,Everyday Verbs
512,send,senden,,envoyer,,send,verb,Communication
513,sit,sitzen,,s'asseoir,,sit,verb,Everyday Verbs
514,play,spielen,,jouer,,play,verb,Everyday Verbs
515,to speak,sprechen,,parler,,speak; talk,verb,Everyday Verbs
516,start,starten,,commencer,,start,verb,Everyday Verbs
517,stand,stehen,,se lever,,stand,verb,Everyday Verbs
518,die,sterben,,mourir,,die,verb,Everyday Verbs
519,stop,stoppen,,arrêter,,stop,verb,Everyday Verbs
520,to study,studieren,,étudier,,study (at university),verb,Everyday Verbs
521,dance,tanzen,,danser,,dance,verb,Everyday Verbs
522,meet,treffen,,rencontrer,,meet,verb,Everyday Verbs
523,to drink,trinken,,boire,,drink,verb,Food & Drinks
524,do,tun,,faire,,do,verb,Everyday Verbs
525,support,unterstützen,,soutenir,,support,verb,Everyday Verbs
526,forget,vergessen,,oublier,,forget,verb,Everyday Verbs
527,sell,verkaufen,,vendre,,sell,verb,Everyday Verbs
528,leave,verlassen,,partir,,leave,verb,Everyday Verbs
529,lend,verleihen,,prêter,,lend,verb,Everyday Verbs
530,lose,verlieren,,perdre,,lose,verb,Everyday Verbs
531,promise,versprechen,,promettre,,promise,verb,Communication
532,try,versuchen,,essayer,,try,verb,Everyday Verbs
533,grow,wachsen,,grandir,,grow,verb,Everyday Verbs
534,wait,warten,,attendre,,wait,verb,Everyday Verbs
535,wash,waschen,,laver,,wash,verb,Everyday Verbs
536,cry,weinen,,pleurer,,cry,verb,Everyday Verbs
537,become,werden,,devenir,,become,verb,Everyday Verbs
538,disagree,widersprechen,,ne pas être d'accord,,disagree,verb,Communication
539,know,wissen,,savoir,,know,verb,Everyday Verbs
540,to want,wollen,,vouloir,,want,verb,Everyday Verbs
541,choose,wählen,,choisir,,choose,verb,Everyday Verbs
542,draw,zeichnen,,dessiner,,draw,verb,Everyday Verbs
543,show,zeigen,,montrer,,show,verb,Communication
544,listen,zuhören,,écouter,,listen,verb,Communication
545,return,zurückkehren,,retourner,,return,verb,Everyday Verbs
546,agree,zustimmen,,être d'accord,,agree,verb,Communication
547,change,ändern,,changer,,change,verb,Everyday Verbs
548,to open,öffnen,,ouvrir,,open,verb,Everyday Verbs
549,old,alt,,vieux,,old,adj,Adjectives
550,easy,einfach,,facile,,easy; simple,adj,Adjectives
551,happy,glücklich,,heureux,,happy,adj,Adjectives
552,big,groß,,grand,,big; large,adj,Adjectives
553,good,gut,,bon,,good; well,adj,Adjectives
554,hot,heiß,,chaud,,hot,adj,Adjectives
555,cold,kalt,,froid,,cold,adj,Adjectives
556,small,klein,,petit,,small; little,adj,Adjectives
557,new,neu,,nouveau,,new,adj,Adjectives
558,bad,schlecht,,mauvais,,bad; poor,adj,Adjectives
559,difficult,schwierig,,difficile,,difficult; hard,adj,Adjectives
560,sad,traurig,,triste,,sad,adj,Adjectives
561,zero,null,,zéro,,zero,numeral,Numbers
562,but,aber,,mais,,but,conjunction,Grammar & Connectors
563,eight,acht,,huit,,eight,numeral,Numbers
564,eighteen,achtzehn,,dix-huit,,eighteen,numeral,Numbers
565,eighty,achtzig,,quatre-vingts,,eighty,numeral,Numbers
566,than,als,,que,,than,conjunction,Grammar & Connectors
567,most,am meisten,,le plus,,most,adverb,Grammar & Connectors
568,different,anders,,différent,,different,adjective,Adjectives
569,poor,arm,,pauvre,,poor,adjective,Adjectives
570,on,auf,,sur,,on,preposition,Grammar & Connectors
571,soon,bald,,bientôt,,soon,adverb,Time
572,at,bei,,à,,at,preposition,Grammar & Connectors
573,popular,beliebt,,populaire,,popular,adjective,Adjectives
574,famous,berühmt,,célèbre,,famous,adjective,Adjectives
575,busy,beschäftigt,,occupé,,busy,adjective,Adjectives
576,better,besser,,meilleur,,better,adjective,Adjectives
577,best,beste,,le meilleur,,best,adjective,Adjectives
578,cheap,billig,,bon marché,,cheap,adjective,Adjectives
579,blue,blau,,bleu,,blue,adjective,Adjectives
580,brown,braun,,marron,,brown,adjective,Adjectives
581,that,das,,ce,,that,pronoun,Grammar & Connectors
582,your,dein,,ton/votre,,your,pronoun,Grammar & Connectors
583,fat,dick,,gros,,fat,adjective,Adjectives
584,this,dies,,ce/cet,,this,pronoun,Grammar & Connectors
585,these,diese,,ces,,these,pronoun,Grammar & Connectors
586,there,dort,,là,,there,adverb,Grammar & Connectors
587,three,drei,,trois,,three,numeral,Numbers
588,thirty,dreissig,,trente,,thirty,numeral,Numbers
589,thirteen,dreizehn,,treize,,thirteen,numeral,Numbers
590,you,du,,tu/vous,,you,pronoun,Grammar & Connectors
591,dark,dunkel,,sombre,,dark,adjective,Adjectives
592,through,durch,,à travers,,through,preposition,Grammar & Connectors
593,one,eins,,un,,one,numeral,Numbers
594,eleven,elf,,onze,,eleven,numeral,Numbers
595,he,er,,il,,he,pronoun,Grammar & Connectors
596,it,es,,il/elle,,it,pronoun,Grammar & Connectors
597,lazy,faul,,paresseux,,lazy,adjective,Adjectives
598,free,frei,,libre,,free,adjective,Adjectives
599,friendly,freundlich,,aimable,,friendly,adjective,Adjectives
600,fresh,frisch,,frais,,fresh,adjective,Adjectives
601,early,früh,,tôt,,early,adjective,Time
602,able,fähig,,capable,,able,adjective,Adjectives
603,five,fünf,,cinq,,five,numeral,Numbers
604,fifteen,fünfzehn,,quinze,,fifteen,numeral,Numbers
605,fifty,fünfzig,,cinquante,,fifty,numeral,Numbers
606,for,für,,pour,,for,preposition,Grammar & Connectors
607,against,gegen,,contre,,against,preposition,Grammar & Connectors
608,yellow,gelb,,jaune,,yellow,adjective,Adjectives
609,yesterday,gestern,,hier,,yesterday,adverb,Time
610,healthy,gesund,,en bonne santé,,healthy,adjective,Adjectives
611,gold,golden,,doré,,gold,adjective,Adjectives
612,gray,grau,,gris,,gray,adjective,Adjectives
613,great,grossartig,,super,,great,adjective,Adjectives
614,green,grün,,vert,,green,adjective,Adjectives
615,hard,hart,,dur,,hard,adjective,Adjectives
616,bright,hell,,brillant,,bright,adjective,Adjectives
617,today,heute,,aujourd'hui,,today,adverb,Time
618,here,hier,,ici,,here,adverb,Grammar & Connectors
619,behind,hinter,,derrière,,behind,preposition,Grammar & Connectors
620,high,hoch,,haut,,high,adjective,Adjectives
621,hundred,hundert,,cent,,hundred,numeral,Numbers
622,ugly,hässlich,,laid,,ugly,adjective,Adjectives
623,I,ich,,je,,I,pronoun,Grammar & Connectors
624,him,ihn,,lui,,him,pronoun,Grammar & Connectors
625,their,ihr,,leur,,their,pronoun,Grammar & Connectors
626,in,in,,dans,,in,preposition,Grammar & Connectors
627,interesting,interessant,,intéressant,,interesting,adjective,Adjectives
628,those,jene,,ceux,,those,pronoun,Grammar & Connectors
629,now,jetzt,,maintenant,,now,adverb,Time
630,young,jung,,jeune,,young,adjective,Adjectives
631,sick,krank,,malade,,sick,adjective,Adjectives
632,short,kurz,,court,,short,adjective,Adjectives
633,long,lang,,long,,long,adjective,Adjectives
634,slowly,langsam,,lentement,,slowly,adverb,Grammar & Connectors
635,slow,langsam,,lent,,slow,adjective,Adjectives
636,loud,laut,,bruyant,,loud,adjective,Adjectives
637,empty,leer,,vide,,empty,adjective,Adjectives
638,light,leicht,,léger,,light,adjective,Adjectives
639,quiet,leise,,calme,,quiet,adjective,Adjectives
640,purple,lila,,violet,,purple,adjective,Adjectives
641,more,mehr,,plus,,more,adverb,Grammar & Connectors
642,my,mein,,mon/ma,,my,pronoun,Grammar & Connectors
643,me,mich,,moi,,me,pronoun,Grammar & Connectors
644,with,mit,,avec,,with,preposition,Grammar & Connectors
645,modern,modern,,moderne,,modern,adjective,Adjectives
646,tomorrow,morgen,,demain,,tomorrow,adverb,Time
647,tired,müde,,fatigué,,tired,adjective,Adjectives
648,after,nach,,après,,after,preposition,Grammar & Connectors
649,wet,nass,,mouillé,,wet,adjective,Adjectives
650,nice,nett,,sympa,,nice,adjective,Adjectives
651,nine,neun,,neuf,,nine,numeral,Numbers
652,nineteen,neunzehn,,dix-neuf,,nineteen,numeral,Numbers
653,ninety,neunzig,,quatre-vingt-dix,,ninety,numeral,Numbers
654,still,noch,,encore,,still,adverb,Time
655,although,obwohl,,bien que,,although,conjunction,Grammar & Connectors
656,or,oder,,ou,,or,conjunction,Grammar & Connectors
657,without,ohne,,sans,,without,preposition,Grammar & Connectors
658,orange,orange,,orange,,orange,adjective,Adjectives
659,rich,reich,,riche,,rich,adjective,Adjectives
660,right,richtig,,correct,,right,adjective,Adjectives
661,pink,rosa,,rose,,pink,adjective,Adjectives
662,red,rot,,rouge,,red,adjective,Adjectives
663,narrow,schmal,,étroit,,narrow,adjective,Adjectives
664,fast,schnell,,vite,,fast,adverb,Adjectives
665,quick,schnell,,rapide,,quick,adjective,Adjectives
666,already,schon,,déjà,,already,adverb,Grammar & Connectors
667,weak,schwach,,faible,,weak,adjective,Adjectives
668,black,schwarz,,noir,,black,adjective,Adjectives
669,heavy,schwer,,lourd,,heavy,adjective,Adjectives
670,beautiful,schön,,beau,,beautiful,adjective,Adjectives
671,six,sechs,,six,,six,numeral,Numbers
672,sixteen,sechzehn,,seize,,sixteen,numeral,Numbers
673,sixty,sechzig,,soixante,,sixty,numeral,Numbers
674,very,sehr,,très,,very,adverb,Grammar & Connectors
675,his,sein,,son,,his,pronoun,Grammar & Connectors
676,safe,sicher,,sûr,,safe,adjective,Adjectives
677,she,sie,,elle,,she,pronoun,Grammar & Connectors
678,seven,sieben,,sept,,seven,numeral,Numbers
679,seventeen,siebzehn,,dix-sept,,seventeen,numeral,Numbers
680,seventy,siebzig,,soixante-dix,,seventy,numeral,Numbers
681,silver,silbern,,argenté,,silver,adjective,Adjectives
682,so,so,,donc,,so,conjunction,Grammar & Connectors
683,late,spät,,en retard,,late,adjective,Time
684,strong,stark,,fort,,strong,adjective,Adjectives
685,thousand,tausend,,mille,,thousand,numeral,Numbers
686,dead,tot,,mort,,dead,adjective,Adjectives
687,dry,trocken,,sec,,dry,adjective,Adjectives
688,turquoise,türkis,,turquoise,,turquoise,adjective,Adjectives
689,and,und,,et,,and,conjunction,Grammar & Connectors
690,us,uns,,nous,,us,pronoun,Grammar & Connectors
691,our,unser,,notre,,our,pronoun,Grammar & Connectors
692,under,unter,,sous,,under,preposition,Grammar & Connectors
693,four,vier,,quatre,,four,numeral,Numbers
694,fourteen,vierzehn,,quatorze,,fourteen,numeral,Numbers
695,forty,vierzig,,quarante,,forty,numeral,Numbers
696,full,voll,,plein,,full,adjective,Adjectives
697,from,von,,de,,from,preposition,Grammar & Connectors
698,before,vor,,avant,,before,preposition,Grammar & Connectors
699,warm,warm,,chaud,,warm,adjective,Adjectives
700,soft,weich,,doux,,soft,adjective,Adjectives
701,because,weil,,parce que,,because,conjunction,Grammar & Connectors
702,white,weiss,,blanc,,white,adjective,Adjectives
703,less,weniger,,moins,,less,adverb,Grammar & Connectors
704,if,wenn,,si,,if,conjunction,Grammar & Connectors
705,important,wichtig,,important,,important,adjective,Adjectives
706,again,wieder,,encore,,again,adverb,Time
707,we,wir,,nous,,we,pronoun,Grammar & Connectors
708,during,während,,pendant,,during,preposition,Grammar & Connectors
709,while,während,,pendant que,,while,conjunction,Grammar & Connectors
710,angry,wütend,,en colère,,angry,adjective,Adjectives
711,ten,zehn,,dix,,ten,numeral,Numbers
712,to,zu,,à,,to,preposition,Grammar & Connectors
713,twenty,zwanzig,,vingt,,twenty,numeral,Numbers
714,two,zwei,,deux,,two,numeral,Numbers
715,between,zwischen,,entre,,between,preposition,Grammar & Connectors
716,twelve,zwölf,,douze,,twelve,numeral,Numbers
717,over,über,,au-dessus de,,over,preposition,Grammar & Connectors
718,everywhere,überall,,partout,,everywhere,adverb,Grammar & Connectors
